From Timestamp,HH Electricity (kWh),HH Cooling (kWh),HH Boiler (kWh),DE Electricity (kWh),DE Boiler (kWh)
2018-01-01 00:00:00,12.8,0.5498,3.6,,27.4
2018-01-01 00:30:00,12.3,0.5195,27.9,,28.3
2018-01-01 01:00:00,13.5,0.5742,72.5,,29.8
2018-01-01 01:30:00,11.9,0.5928,7.5,,27.3
2018-01-01 02:00:00,12.8,0.6143,2.3,,27.3
2018-01-01 02:30:00,12.6,0.5996,1.6,,27.6
2018-01-01 03:00:00,11.9,0.5898,2.6,,28.1
2018-01-01 03:30:00,13.0,0.5996,0.2,,27.4
2018-01-01 04:00:00,11.91,0.5391,4.0,,29.6
2018-01-01 04:30:00,11.9,0.6084,1.1,,27.5
2018-01-01 05:00:00,13.0,0.6533,1.5,,108.8
2018-01-01 05:30:00,13.1,0.6143,4.9,,131.1
2018-01-01 06:00:00,12.9,0.5215,4.1000000000000005,,99.9
2018-01-01 06:30:00,13.6,0.5312,8.3,,90.5
2018-01-01 07:00:00,14.09,0.5928,3.5,,24.7
2018-01-01 07:30:00,13.41,0.6006,313.5,,20.5
2018-01-01 08:00:00,16.3,0.5488,257.0,,17.5
2018-01-01 08:30:00,14.7,0.5898,83.6,,22.8
2018-01-01 09:00:00,15.3,0.6396,116.1,,26.5
2018-01-01 09:30:00,15.0,0.626,107.0,,27.3
2018-01-01 10:00:00,14.8,0.5977,72.8,,28.8
2018-01-01 10:30:00,15.3,0.6309,130.39999999999998,,30.6
2018-01-01 11:00:00,15.8,0.6133,85.1,,28.1
2018-01-01 11:30:00,16.1,0.6016,80.8,,27.2
2018-01-01 12:00:00,16.4,0.6475,119.8,,26.5
2018-01-01 12:30:00,16.5,0.6631,66.3,,26.5
2018-01-01 13:00:00,16.0,0.6426,94.8,,26.1
2018-01-01 13:30:00,16.2,0.6504,107.0,,26.1
2018-01-01 14:00:00,16.4,0.6436,59.3,,26.9
2018-01-01 14:30:00,16.6,0.6533,117.7,,26.6
2018-01-01 15:00:00,17.1,0.6426,79.8,,25.9
2018-01-01 15:30:00,17.0,0.6836,75.39999999999998,,25.6
