From Timestamp,Target,n-1,n-2,n-3,n-4,n-5
2018-01-01,12.6,12.8,11.9,13.5,12.3,12.8
2018-01-01,11.9,12.6,12.8,11.9,13.5,12.3
2018-01-01,13,11.9,12.6,12.8,11.9,13.5
2018-01-01,11.91,13,11.9,12.6,12.8,11.9
2018-01-01,11.9,11.91,13,11.9,12.6,12.8
2018-01-01,13,11.9,11.91,13,11.9,12.6
2018-01-01,13.1,13,11.9,11.91,13,11.9
2018-01-01,12.9,13.1,13,11.9,11.91,13
2018-01-01,13.6,12.9,13.1,13,11.9,11.91
2018-01-01,14.09,13.6,12.9,13.1,13,11.9
2018-01-01,13.41,14.09,13.6,12.9,13.1,13
2018-01-01,16.3,13.41,14.09,13.6,12.9,13.1
2018-01-01,14.7,16.3,13.41,14.09,13.6,12.9
2018-01-01,15.3,14.7,16.3,13.41,14.09,13.6
2018-01-01,15,15.3,14.7,16.3,13.41,14.09
2018-01-01,14.8,15,15.3,14.7,16.3,13.41
2018-01-01,15.3,14.8,15,15.3,14.7,16.3
2018-01-01,15.8,15.3,14.8,15,15.3,14.7
2018-01-01,16.1,15.8,15.3,14.8,15,15.3
2018-01-01,16.4,16.1,15.8,15.3,14.8,15
2018-01-01,16.5,16.4,16.1,15.8,15.3,14.8
2018-01-01,16,16.5,16.4,16.1,15.8,15.3
2018-01-01,16.2,16,16.5,16.4,16.1,15.8
2018-01-01,16.4,16.2,16,16.5,16.4,16.1
2018-01-01,16.6,16.4,16.2,16,16.5,16.4
2018-01-01,17.1,16.6,16.4,16.2,16,16.5
2018-01-01,17,17.1,16.6,16.4,16.2,16
2018-01-01,16.4,17,17.1,16.6,16.4,16.2
2018-01-01,15.8,16.4,17,17.1,16.6,16.4
2018-01-01,16.7,15.8,16.4,17,17.1,16.6
2018-01-01,15.7,16.7,15.8,16.4,17,17.1
2018-01-01,15,15.7,16.7,15.8,16.4,17
2018-01-01,14.1,15,15.7,16.7,15.8,16.4
2018-01-01,13.2,14.1,15,15.7,16.7,15.8
2018-01-01,12.9,13.2,14.1,15,15.7,16.7
2018-01-01,13,12.9,13.2,14.1,15,15.7
2018-01-01,13.1,13,12.9,13.2,14.1,15
2018-01-01,13.4,13.1,13,12.9,13.2,14.1
2018-01-01,13,13.4,13.1,13,12.9,13.2
2018-01-01,12.6,13,13.4,13.1,13,12.9
2018-01-01,12.6,12.6,13,13.4,13.1,13
2018-01-01,12.8,12.6,12.6,13,13.4,13.1
2018-01-01,12.4,12.8,12.6,12.6,13,13.4
2018-01-02,12.4,12.4,12.8,12.6,12.6,13
2018-01-02,12.5,12.4,12.4,12.8,12.6,12.6
2018-01-02,12.41,12.5,12.4,12.4,12.8,12.6
2018-01-02,12.3,12.41,12.5,12.4,12.4,12.8
2018-01-02,12.7,12.3,12.41,12.5,12.4,12.4
2018-01-02,12.2,12.7,12.3,12.41,12.5,12.4
2018-01-02,12.4,12.2,12.7,12.3,12.41,12.5
2018-01-02,12.3,12.4,12.2,12.7,12.3,12.41
2018-01-02,12.8,12.3,12.4,12.2,12.7,12.3
2018-01-02,12.7,12.8,12.3,12.4,12.2,12.7
2018-01-02,13.2,12.7,12.8,12.3,12.4,12.2
2018-01-02,13.3,13.2,12.7,12.8,12.3,12.4
2018-01-02,13.9,13.3,13.2,12.7,12.8,12.3
2018-01-02,15.3,13.9,13.3,13.2,12.7,12.8
2018-01-02,15.7,15.3,13.9,13.3,13.2,12.7
2018-01-02,17,15.7,15.3,13.9,13.3,13.2
2018-01-02,21,17,15.7,15.3,13.9,13.3
2018-01-02,20.8,21,17,15.7,15.3,13.9
2018-01-02,20.91,20.8,21,17,15.7,15.3
2018-01-02,23.59,20.91,20.8,21,17,15.7
2018-01-02,25.1,23.59,20.91,20.8,21,17
2018-01-02,24.7,25.1,23.59,20.91,20.8,21
2018-01-02,26.8,24.7,25.1,23.59,20.91,20.8
2018-01-02,25.5,26.8,24.7,25.1,23.59,20.91
2018-01-02,26.8,25.5,26.8,24.7,25.1,23.59
2018-01-02,25.59,26.8,25.5,26.8,24.7,25.1
2018-01-02,25.41,25.59,26.8,25.5,26.8,24.7
2018-01-02,25.7,25.41,25.59,26.8,25.5,26.8
2018-01-02,25.7,25.7,25.41,25.59,26.8,25.5
2018-01-02,26.4,25.7,25.7,25.41,25.59,26.8
2018-01-02,25.6,26.4,25.7,25.7,25.41,25.59
2018-01-02,25.3,25.6,26.4,25.7,25.7,25.41
2018-01-02,25.1,25.3,25.6,26.4,25.7,25.7
2018-01-02,24.2,25.1,25.3,25.6,26.4,25.7
2018-01-02,23.7,24.2,25.1,25.3,25.6,26.4
2018-01-02,21.3,23.7,24.2,25.1,25.3,25.6
2018-01-02,18,21.3,23.7,24.2,25.1,25.3
2018-01-02,15.4,18,21.3,23.7,24.2,25.1
2018-01-02,14.5,15.4,18,21.3,23.7,24.2
2018-01-02,14.3,14.5,15.4,18,21.3,23.7
2018-01-02,14.3,14.3,14.5,15.4,18,21.3
2018-01-02,14.7,14.3,14.3,14.5,15.4,18
2018-01-02,15.3,14.7,14.3,14.3,14.5,15.4
2018-01-02,14.09,15.3,14.7,14.3,14.3,14.5
2018-01-02,14.3,14.09,15.3,14.7,14.3,14.3
2018-01-02,14,14.3,14.09,15.3,14.7,14.3
2018-01-02,14.8,14,14.3,14.09,15.3,14.7
2018-01-02,14.2,14.8,14,14.3,14.09,15.3
2018-01-03,14.1,14.2,14.8,14,14.3,14.09
2018-01-03,14.2,14.1,14.2,14.8,14,14.3
2018-01-03,13.8,14.2,14.1,14.2,14.8,14
2018-01-03,14,13.8,14.2,14.1,14.2,14.8
2018-01-03,15.5,14,13.8,14.2,14.1,14.2
